idx;util;clip;label;overlap_ratio;concepts;id;movie;srt_name;video_name;graph_number
298;1;tt0119822scene-057.ss-0351.es-0357;Easy Neg;1.00;[''];tt0119822-057;tt0119822;scene-057.ss-0351.es-0357.srt;tt0119822_scene_57.avi;56
299;1;tt0119822scene-058.ss-0358.es-0359;Easy Neg;1.00;[''];tt0119822-058;tt0119822;scene-058.ss-0358.es-0359.srt;tt0119822_scene_58.avi;57
300;1;tt0119822scene-059.ss-0360.es-0365;Easy Neg;1.00;[''];tt0119822-059;tt0119822;scene-059.ss-0360.es-0365.srt;tt0119822_scene_59.avi;58
301;1;tt0119822scene-060.ss-0366.es-0371;Easy Neg;1.00;[''];tt0119822-060;tt0119822;scene-060.ss-0366.es-0371.srt;tt0119822_scene_60.avi;59
302;1;tt0119822scene-061.ss-0372.es-0372;Easy Neg;0.99;[''];tt0119822-061;tt0119822;scene-061.ss-0372.es-0372.srt;tt0119822_scene_61.avi;60
303;1;tt0119822scene-062.ss-0373.es-0375;Easy Neg;1.00;[''];tt0119822-062;tt0119822;scene-062.ss-0373.es-0375.srt;tt0119822_scene_62.avi;61
304;1;tt0119822scene-063.ss-0375.es-0394;Easy Neg;1.00;[''];tt0119822-063;tt0119822;scene-063.ss-0375.es-0394.srt;tt0119822_scene_63.avi;62
305;1;tt0119822scene-064.ss-0395.es-0417;Easy Neg;1.00;[''];tt0119822-064;tt0119822;scene-064.ss-0395.es-0417.srt;tt0119822_scene_64.avi;63
306;1;tt0119822scene-065.ss-0418.es-0419;Hard Neg;0.93;['Activities'];tt0119822-065;tt0119822;scene-065.ss-0418.es-0419.srt;tt0119822_scene_65.avi;64
307;1;tt0119822scene-066.ss-0420.es-0424;Not Sure;0.95;['Exp of  emotion'];tt0119822-066;tt0119822;scene-066.ss-0420.es-0424.srt;tt0119822_scene_66.avi;65
308;1;tt0119822scene-067.ss-0425.es-0448;Not Sure;1.00;['Exp of  emotion'];tt0119822-067;tt0119822;scene-067.ss-0425.es-0448.srt;tt0119822_scene_67.avi;66
309;1;tt0119822scene-068.ss-0449.es-0461;Not Sure;0.24;['Exp of  emotion'];tt0119822-068;tt0119822;scene-068.ss-0449.es-0461.srt;tt0119822_scene_68.avi;67
310;1;tt0119822scene-069.ss-0462.es-0467;Easy Neg;1.00;[''];tt0119822-069;tt0119822;scene-069.ss-0462.es-0467.srt;tt0119822_scene_69.avi;68
311;1;tt0119822scene-070.ss-0468.es-0472;Easy Neg;1.00;[''];tt0119822-070;tt0119822;scene-070.ss-0468.es-0472.srt;tt0119822_scene_70.avi;69
312;1;tt0119822scene-071.ss-0473.es-0497;Not Sure;0.91;['Body', ' Speech', ' Look'];tt0119822-071;tt0119822;scene-071.ss-0473.es-0497.srt;tt0119822_scene_71.avi;70
313;1;tt0119822scene-072.ss-0498.es-0511;Easy Neg;1.00;[''];tt0119822-072;tt0119822;scene-072.ss-0498.es-0511.srt;tt0119822_scene_72.avi;71
314;0;tt0119822scene-073.ss-0512.es-0515;Easy Neg;1.00;[''];tt0119822-073;tt0119822;scene-073.ss-0512.es-0515.srt;tt0119822_scene_73.mp4;72
315;1;tt0119822scene-074.ss-0516.es-0517;Easy Neg;1.00;[''];tt0119822-074;tt0119822;scene-074.ss-0516.es-0517.srt;tt0119822_scene_74.avi;73
316;1;tt0119822scene-075.ss-0518.es-0528;Easy Neg;1.00;[''];tt0119822-075;tt0119822;scene-075.ss-0518.es-0528.srt;tt0119822_scene_75.avi;74
317;1;tt0119822scene-076.ss-0529.es-0536;Easy Neg;1.00;[''];tt0119822-076;tt0119822;scene-076.ss-0529.es-0536.srt;tt0119822_scene_76.avi;75
318;1;tt0119822scene-077.ss-0537.es-0544;Easy Neg;1.00;[''];tt0119822-077;tt0119822;scene-077.ss-0537.es-0544.srt;tt0119822_scene_77.avi;76
319;1;tt0119822scene-078.ss-0545.es-0556;Easy Neg;1.00;[''];tt0119822-078;tt0119822;scene-078.ss-0545.es-0556.srt;tt0119822_scene_78.avi;77
320;1;tt0119822scene-079.ss-0557.es-0565;Easy Neg;1.00;[''];tt0119822-079;tt0119822;scene-079.ss-0557.es-0565.srt;tt0119822_scene_79.avi;78
321;0;tt0119822scene-080.ss-0566.es-0568;Easy Neg;1.00;[''];tt0119822-080;tt0119822;scene-080.ss-0566.es-0568.srt;tt0119822_scene_80.mp4;-1
322;1;tt0119822scene-081.ss-0569.es-0580;Easy Neg;1.00;[''];tt0119822-081;tt0119822;scene-081.ss-0569.es-0580.srt;tt0119822_scene_81.avi;80
323;1;tt0119822scene-082.ss-0581.es-0583;Easy Neg;1.00;[''];tt0119822-082;tt0119822;scene-082.ss-0581.es-0583.srt;tt0119822_scene_82.avi;81
324;1;tt0119822scene-083.ss-0584.es-0597;Sure;0.43;['Body', ' Speech', ' Exp of  emotion'];tt0119822-083;tt0119822;scene-083.ss-0584.es-0597.srt;tt0119822_scene_83.avi;82
325;1;tt0119822scene-084.ss-0598.es-0611;Hard Neg;0.90;['Look'];tt0119822-084;tt0119822;scene-084.ss-0598.es-0611.srt;tt0119822_scene_84.avi;83
326;1;tt0119822scene-085.ss-0612.es-0615;Hard Neg;1.00;['Look'];tt0119822-085;tt0119822;scene-085.ss-0612.es-0615.srt;tt0119822_scene_85.avi;84
327;0;tt0119822scene-086.ss-0616.es-0621;Hard Neg;1.00;['Look'];tt0119822-086;tt0119822;scene-086.ss-0616.es-0621.srt;tt0119822_scene_86.mp4;85
328;1;tt0119822scene-087.ss-0622.es-0642;Not Sure;0.46;['Speech', ' Activities', ' Look'];tt0119822-087;tt0119822;scene-087.ss-0622.es-0642.srt;tt0119822_scene_87.avi;86
329;1;tt0119822scene-088.ss-0643.es-0656;Hard Neg;1.00;['Speech'];tt0119822-088;tt0119822;scene-088.ss-0643.es-0656.srt;tt0119822_scene_88.avi;-1
330;1;tt0119822scene-089.ss-0657.es-0660;Easy Neg;1.00;[''];tt0119822-089;tt0119822;scene-089.ss-0657.es-0660.srt;tt0119822_scene_89.avi;88
331;1;tt0119822scene-090.ss-0661.es-0677;Easy Neg;0.88;[''];tt0119822-090;tt0119822;scene-090.ss-0661.es-0677.srt;tt0119822_scene_90.avi;89
332;1;tt0119822scene-091.ss-0678.es-0688;Not Sure;0.90;['Speech', ' Exp of  emotion'];tt0119822-091;tt0119822;scene-091.ss-0678.es-0688.srt;tt0119822_scene_91.avi;90
333;1;tt0119822scene-092.ss-0689.es-0710;Not Sure;1.00;['Speech', ' Exp of  emotion'];tt0119822-092;tt0119822;scene-092.ss-0689.es-0710.srt;tt0119822_scene_92.avi;91
334;0;tt0119822scene-093.ss-0711.es-0713;Easy Neg;1.00;[''];tt0119822-093;tt0119822;scene-093.ss-0711.es-0713.srt;tt0119822_scene_93.mp4;-1
335;1;tt0119822scene-094.ss-0714.es-0723;Not Sure;0.37;['Speech'];tt0119822-094;tt0119822;scene-094.ss-0714.es-0723.srt;tt0119822_scene_94.avi;93
336;1;tt0119822scene-095.ss-0724.es-0736;Sure;1.00;['Voice', ' Posture', ' Speech', ' Look', ' Exp of  emotion'];tt0119822-095;tt0119822;scene-095.ss-0724.es-0736.srt;tt0119822_scene_95.avi;94
337;1;tt0119822scene-096.ss-0737.es-0747;Not Sure;0.97;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-096;tt0119822;scene-096.ss-0737.es-0747.srt;tt0119822_scene_96.avi;95
338;1;tt0119822scene-097.ss-0748.es-0750;Not Sure;1.00;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-097;tt0119822;scene-097.ss-0748.es-0750.srt;tt0119822_scene_97.avi;96
339;1;tt0119822scene-098.ss-0751.es-0756;Not Sure;1.00;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-098;tt0119822;scene-098.ss-0751.es-0756.srt;tt0119822_scene_98.avi;97
340;1;tt0119822scene-099.ss-0757.es-0763;Not Sure;1.00;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-099;tt0119822;scene-099.ss-0757.es-0763.srt;tt0119822_scene_99.avi;98
341;1;tt0119822scene-100.ss-0764.es-0765;Not Sure;1.00;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-100;tt0119822;scene-100.ss-0764.es-0765.srt;tt0119822_scene_100.avi;99
342;1;tt0119822scene-101.ss-0766.es-0768;Not Sure;1.00;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-101;tt0119822;scene-101.ss-0766.es-0768.srt;tt0119822_scene_101.avi;100
343;1;tt0119822scene-102.ss-0769.es-0781;Not Sure;1.00;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-102;tt0119822;scene-102.ss-0769.es-0781.srt;tt0119822_scene_102.avi;101
344;1;tt0119822scene-103.ss-0782.es-0791;Not Sure;1.00;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-103;tt0119822;scene-103.ss-0782.es-0791.srt;tt0119822_scene_103.avi;102
345;1;tt0119822scene-104.ss-0792.es-0796;Not Sure;1.00;['Speech', ' Activities', ' Exp of  emotion'];tt0119822-104;tt0119822;scene-104.ss-0792.es-0796.srt;tt0119822_scene_104.avi;103
346;1;tt0119822scene-105.ss-0797.es-0812;Sure;0.65;['Speech', ' Exp of  emotion'];tt0119822-105;tt0119822;scene-105.ss-0797.es-0812.srt;tt0119822_scene_105.avi;104
347;1;tt0119822scene-106.ss-0813.es-0820;Easy Neg;1.00;[''];tt0119822-106;tt0119822;scene-106.ss-0813.es-0820.srt;tt0119822_scene_106.avi;105
348;1;tt0119822scene-107.ss-0821.es-0823;Easy Neg;1.00;[''];tt0119822-107;tt0119822;scene-107.ss-0821.es-0823.srt;tt0119822_scene_107.avi;106
349;1;tt0119822scene-108.ss-0824.es-0826;Easy Neg;1.00;[''];tt0119822-108;tt0119822;scene-108.ss-0824.es-0826.srt;tt0119822_scene_108.avi;107
350;1;tt0119822scene-109.ss-0827.es-0837;Sure;0.87;['Voice', ' Speech', ' Exp of  emotion'];tt0119822-109;tt0119822;scene-109.ss-0827.es-0837.srt;tt0119822_scene_109.avi;108
351;1;tt0119822scene-110.ss-0838.es-0851;Easy Neg;1.00;[''];tt0119822-110;tt0119822;scene-110.ss-0838.es-0851.srt;tt0119822_scene_110.avi;109
352;1;tt0119822scene-111.ss-0852.es-0880;Easy Neg;1.00;[''];tt0119822-111;tt0119822;scene-111.ss-0852.es-0880.srt;tt0119822_scene_111.avi;110
353;0;tt0119822scene-112.ss-0881.es-0890;Sure;0.28;['Type of plan', ' Body', ' Appearance', ' Clothes', ' Posture'];tt0119822-112;tt0119822;scene-112.ss-0881.es-0890.srt;tt0119822_scene_112.mp4;-1
354;1;tt0119822scene-113.ss-0891.es-0943;Sure;0.38;['Clothes', ' Posture', ' Speech', ' Exp of  emotion'];tt0119822-113;tt0119822;scene-113.ss-0891.es-0943.srt;tt0119822_scene_113.avi;112
355;0;tt0119822scene-114.ss-0944.es-0945;Easy Neg;0.95;[''];tt0119822-114;tt0119822;scene-114.ss-0944.es-0945.srt;tt0119822_scene_114.mp4;-1
356;1;tt0119822scene-115.ss-0946.es-0958;Easy Neg;1.00;[''];tt0119822-115;tt0119822;scene-115.ss-0946.es-0958.srt;tt0119822_scene_115.avi;114
357;1;tt0119822scene-116.ss-0959.es-0967;Hard Neg;0.40;['Body', ' Voice', ' Speech'];tt0119822-116;tt0119822;scene-116.ss-0959.es-0967.srt;tt0119822_scene_116.avi;115
358;1;tt0119822scene-117.ss-0968.es-0977;Hard Neg;1.00;['Body', ' Voice', ' Speech'];tt0119822-117;tt0119822;scene-117.ss-0968.es-0977.srt;tt0119822_scene_117.avi;116
359;1;tt0119822scene-118.ss-0978.es-1002;Hard Neg;0.42;['Voice', ' Speech', ' Exp of  emotion'];tt0119822-118;tt0119822;scene-118.ss-0978.es-1002.srt;tt0119822_scene_118.avi;117
360;1;tt0119822scene-119.ss-1003.es-1003;Easy Neg;1.00;[''];tt0119822-119;tt0119822;scene-119.ss-1003.es-1003.srt;tt0119822_scene_119.avi;118
361;1;tt0119822scene-120.ss-1004.es-1004;Easy Neg;0.20;[''];tt0119822-120;tt0119822;scene-120.ss-1004.es-1004.srt;tt0119822_scene_120.avi;119
362;1;tt0119822scene-121.ss-1005.es-1016;Not Sure;0.71;['Speech', ' Look', ' Exp of  emotion'];tt0119822-121;tt0119822;scene-121.ss-1005.es-1016.srt;tt0119822_scene_121.avi;120
363;1;tt0119822scene-122.ss-1017.es-1038;Easy Neg;0.83;[''];tt0119822-122;tt0119822;scene-122.ss-1017.es-1038.srt;tt0119822_scene_122.avi;121
364;1;tt0119822scene-123.ss-1039.es-1043;Hard Neg;1.00;['Speech'];tt0119822-123;tt0119822;scene-123.ss-1039.es-1043.srt;tt0119822_scene_123.avi;122
365;1;tt0119822scene-124.ss-1044.es-1054;Hard Neg;0.31;['Speech'];tt0119822-124;tt0119822;scene-124.ss-1044.es-1054.srt;tt0119822_scene_124.avi;123
366;1;tt0119822scene-125.ss-1055.es-1089;Sure;0.61;['Voice', ' Speech', ' Look', ' Exp of  emotion'];tt0119822-125;tt0119822;scene-125.ss-1055.es-1089.srt;tt0119822_scene_125.avi;124
367;1;tt0119822scene-126.ss-1090.es-1116;Sure;0.27;['Speech'];tt0119822-126;tt0119822;scene-126.ss-1090.es-1116.srt;tt0119822_scene_126.avi;125
368;1;tt0119822scene-127.ss-1117.es-1119;Sure;0.22;['Speech'];tt0119822-127;tt0119822;scene-127.ss-1117.es-1119.srt;tt0119822_scene_127.avi;126
369;1;tt0119822scene-128.ss-1120.es-1120;Easy Neg;1.00;[''];tt0119822-128;tt0119822;scene-128.ss-1120.es-1120.srt;tt0119822_scene_128.avi;127
370;1;tt0119822scene-129.ss-1121.es-1137;Hard Neg;0.32;['Speech', ' Exp of  emotion'];tt0119822-129;tt0119822;scene-129.ss-1121.es-1137.srt;tt0119822_scene_129.avi;128
371;1;tt0119822scene-130.ss-1138.es-1140;Hard Neg;0.48;['Speech', ' Exp of  emotion'];tt0119822-130;tt0119822;scene-130.ss-1138.es-1140.srt;tt0119822_scene_130.avi;129
372;1;tt0119822scene-131.ss-1141.es-1146;Easy Neg;1.00;[''];tt0119822-131;tt0119822;scene-131.ss-1141.es-1146.srt;tt0119822_scene_131.avi;130
373;1;tt0119822scene-132.ss-1147.es-1152;Not Sure;0.46;['Speech'];tt0119822-132;tt0119822;scene-132.ss-1147.es-1152.srt;tt0119822_scene_132.avi;131
374;1;tt0119822scene-133.ss-1153.es-1169;Not Sure;0.20;['Posture', ' Look'];tt0119822-133;tt0119822;scene-133.ss-1153.es-1169.srt;tt0119822_scene_133.avi;132
375;1;tt0119822scene-134.ss-1170.es-1181;Not Sure;0.45;['Posture', ' Look'];tt0119822-134;tt0119822;scene-134.ss-1170.es-1181.srt;tt0119822_scene_134.avi;133
376;1;tt0119822scene-135.ss-1182.es-1186;Easy Neg;1.00;[''];tt0119822-135;tt0119822;scene-135.ss-1182.es-1186.srt;tt0119822_scene_135.avi;134
377;1;tt0119822scene-136.ss-1187.es-1200;Easy Neg;1.00;[''];tt0119822-136;tt0119822;scene-136.ss-1187.es-1200.srt;tt0119822_scene_136.avi;135
378;1;tt0119822scene-137.ss-1201.es-1226;Hard Neg;0.41;['Speech'];tt0119822-137;tt0119822;scene-137.ss-1201.es-1226.srt;tt0119822_scene_137.avi;136
379;1;tt0119822scene-138.ss-1227.es-1243;Easy Neg;1.00;[''];tt0119822-138;tt0119822;scene-138.ss-1227.es-1243.srt;tt0119822_scene_138.avi;137
380;1;tt0119822scene-139.ss-1244.es-1252;Hard Neg;0.50;['Speech'];tt0119822-139;tt0119822;scene-139.ss-1244.es-1252.srt;tt0119822_scene_139.avi;138
381;1;tt0119822scene-140.ss-1253.es-1255;Easy Neg;1.00;[''];tt0119822-140;tt0119822;scene-140.ss-1253.es-1255.srt;tt0119822_scene_140.avi;139
382;0;tt0119822scene-141.ss-1256.es-1256;Easy Neg;1.00;[''];tt0119822-141;tt0119822;scene-141.ss-1256.es-1256.srt;;140
383;1;tt0119822scene-142.ss-1257.es-1266;Easy Neg;0.91;[''];tt0119822-142;tt0119822;scene-142.ss-1257.es-1266.srt;tt0119822_scene_142.avi;141
384;1;tt0119822scene-143.ss-1267.es-1276;Hard Neg;0.26;['Activities', ' Look', ' Exp of  emotion'];tt0119822-143;tt0119822;scene-143.ss-1267.es-1276.srt;tt0119822_scene_143.avi;142
385;1;tt0119822scene-144.ss-1277.es-1283;Hard Neg;1.00;['Clothes'];tt0119822-144;tt0119822;scene-144.ss-1277.es-1283.srt;tt0119822_scene_144.avi;143
386;1;tt0119822scene-145.ss-1284.es-1304;Hard Neg;0.47;['Activities'];tt0119822-145;tt0119822;scene-145.ss-1284.es-1304.srt;tt0119822_scene_145.avi;144
387;0;tt0119822scene-146.ss-1305.es-1305;Easy Neg;0.98;[''];tt0119822-146;tt0119822;scene-146.ss-1305.es-1305.srt;tt0119822_scene_146.mp4;-1
388;1;tt0119822scene-147.ss-1306.es-1312;Easy Neg;1.00;[''];tt0119822-147;tt0119822;scene-147.ss-1306.es-1312.srt;tt0119822_scene_147.avi;146
389;1;tt0119822scene-148.ss-1313.es-1314;Easy Neg;0.96;[''];tt0119822-148;tt0119822;scene-148.ss-1313.es-1314.srt;tt0119822_scene_148.avi;147
390;1;tt0119822scene-149.ss-1315.es-1321;Sure;0.61;['Type of plan', ' Look'];tt0119822-149;tt0119822;scene-149.ss-1315.es-1321.srt;tt0119822_scene_149.avi;148
391;1;tt0119822scene-150.ss-1322.es-1329;Hard Neg;1.00;['Body', ' Voice', ' Look'];tt0119822-150;tt0119822;scene-150.ss-1322.es-1329.srt;tt0119822_scene_150.avi;149
392;1;tt0119822scene-151.ss-1330.es-1346;Hard Neg;0.88;['Voice', ' Clothes', ' Look'];tt0119822-151;tt0119822;scene-151.ss-1330.es-1346.srt;tt0119822_scene_151.avi;150
393;1;tt0119822scene-152.ss-1347.es-1366;Not Sure;0.49;['Type of plan', ' Posture', ' Speech', ' Look'];tt0119822-152;tt0119822;scene-152.ss-1347.es-1366.srt;tt0119822_scene_152.avi;151
394;1;tt0119822scene-153.ss-1367.es-1373;Hard Neg;1.00;['Speech', ' Look'];tt0119822-153;tt0119822;scene-153.ss-1367.es-1373.srt;tt0119822_scene_153.avi;152
395;1;tt0119822scene-154.ss-1373.es-1389;Hard Neg;1.00;['Speech', ' Look'];tt0119822-154;tt0119822;scene-154.ss-1373.es-1389.srt;tt0119822_scene_154.avi;153
396;1;tt0119822scene-155.ss-1390.es-1399;Not Sure;0.22;['Voice', ' Speech', ' Look', ' Exp of  emotion'];tt0119822-155;tt0119822;scene-155.ss-1390.es-1399.srt;tt0119822_scene_155.avi;154
397;1;tt0119822scene-156.ss-1400.es-1405;Not Sure;0.32;['Type of plan', ' Body', ' Voice', ' Activities'];tt0119822-156;tt0119822;scene-156.ss-1400.es-1405.srt;tt0119822_scene_156.avi;155
398;1;tt0119822scene-157.ss-1406.es-1414;Not Sure;1.00;['Type of plan', ' Body', ' Voice', ' Activities'];tt0119822-157;tt0119822;scene-157.ss-1406.es-1414.srt;tt0119822_scene_157.avi;156
399;1;tt0119822scene-158.ss-1415.es-1429;Not Sure;1.00;['Type of plan', ' Body', ' Voice', ' Activities'];tt0119822-158;tt0119822;scene-158.ss-1415.es-1429.srt;tt0119822_scene_158.avi;157
400;1;tt0119822scene-159.ss-1430.es-1446;Sure;0.70;['Speech'];tt0119822-159;tt0119822;scene-159.ss-1430.es-1446.srt;tt0119822_scene_159.avi;158
401;1;tt0119822scene-160.ss-1447.es-1447;Easy Neg;1.00;[''];tt0119822-160;tt0119822;scene-160.ss-1447.es-1447.srt;tt0119822_scene_160.avi;159
402;1;tt0119822scene-161.ss-1448.es-1460;Easy Neg;1.00;[''];tt0119822-161;tt0119822;scene-161.ss-1448.es-1460.srt;tt0119822_scene_161.avi;160
403;1;tt0119822scene-162.ss-1461.es-1481;Sure;0.78;['Type of plan', ' Body', ' Voice', ' Clothes', ' Speech', ' Look'];tt0119822-162;tt0119822;scene-162.ss-1461.es-1481.srt;tt0119822_scene_162.avi;161
404;1;tt0119822scene-163.ss-1482.es-1485;Easy Neg;0.84;[''];tt0119822-163;tt0119822;scene-163.ss-1482.es-1485.srt;tt0119822_scene_163.avi;162
405;1;tt0119822scene-164.ss-1486.es-1494;Sure;0.87;['Type of plan', ' Body', ' Clothes', ' Posture', ' Activities'];tt0119822-164;tt0119822;scene-164.ss-1486.es-1494.srt;tt0119822_scene_164.avi;163
406;1;tt0119822scene-165.ss-1495.es-1510;Hard Neg;0.62;['Appearance', ' Speech'];tt0119822-165;tt0119822;scene-165.ss-1495.es-1510.srt;tt0119822_scene_165.avi;164
407;1;tt0119822scene-166.ss-1511.es-1517;Easy Neg;1.00;[''];tt0119822-166;tt0119822;scene-166.ss-1511.es-1517.srt;tt0119822_scene_166.avi;165
408;1;tt0119822scene-167.ss-1518.es-1525;Hard Neg;0.98;['Speech'];tt0119822-167;tt0119822;scene-167.ss-1518.es-1525.srt;tt0119822_scene_167.avi;166
409;1;tt0119822scene-168.ss-1526.es-1528;Hard Neg;0.74;['Speech'];tt0119822-168;tt0119822;scene-168.ss-1526.es-1528.srt;tt0119822_scene_168.avi;167
410;1;tt0119822scene-169.ss-1529.es-1546;Easy Neg;0.81;[''];tt0119822-169;tt0119822;scene-169.ss-1529.es-1546.srt;tt0119822_scene_169.avi;168
411;1;tt0119822scene-170.ss-1547.es-1553;Easy Neg;1.00;[''];tt0119822-170;tt0119822;scene-170.ss-1547.es-1553.srt;tt0119822_scene_170.avi;169
412;1;tt0119822scene-171.ss-1554.es-1559;Easy Neg;1.00;[''];tt0119822-171;tt0119822;scene-171.ss-1554.es-1559.srt;tt0119822_scene_171.avi;170
413;1;tt0119822scene-172.ss-1560.es-1561;Easy Neg;1.00;[''];tt0119822-172;tt0119822;scene-172.ss-1560.es-1561.srt;tt0119822_scene_172.avi;171
414;1;tt0119822scene-173.ss-1562.es-1565;Easy Neg;1.00;[''];tt0119822-173;tt0119822;scene-173.ss-1562.es-1565.srt;tt0119822_scene_173.avi;172
415;1;tt0119822scene-174.ss-1566.es-1571;Easy Neg;1.00;[''];tt0119822-174;tt0119822;scene-174.ss-1566.es-1571.srt;tt0119822_scene_174.avi;173
416;1;tt0119822scene-175.ss-1572.es-1588;Easy Neg;1.00;[''];tt0119822-175;tt0119822;scene-175.ss-1572.es-1588.srt;tt0119822_scene_175.avi;174
417;1;tt0119822scene-176.ss-1589.es-1589;Easy Neg;0.30;[''];tt0119822-176;tt0119822;scene-176.ss-1589.es-1589.srt;tt0119822_scene_176.avi;175
418;1;tt0119822scene-177.ss-1590.es-1599;Easy Neg;1.00;[''];tt0119822-177;tt0119822;scene-177.ss-1590.es-1599.srt;tt0119822_scene_177.avi;176
419;1;tt0119822scene-178.ss-1600.es-1607;Easy Neg;1.00;[''];tt0119822-178;tt0119822;scene-178.ss-1600.es-1607.srt;tt0119822_scene_178.avi;177
420;1;tt0119822scene-179.ss-1608.es-1625;Hard Neg;0.35;['Speech', ' Exp of  emotion'];tt0119822-179;tt0119822;scene-179.ss-1608.es-1625.srt;tt0119822_scene_179.avi;178
421;1;tt0119822scene-180.ss-1626.es-1652;Easy Neg;1.00;[''];tt0119822-180;tt0119822;scene-180.ss-1626.es-1652.srt;tt0119822_scene_180.avi;179
422;1;tt0119822scene-181.ss-1653.es-1664;Easy Neg;1.00;[''];tt0119822-181;tt0119822;scene-181.ss-1653.es-1664.srt;tt0119822_scene_181.avi;180
423;1;tt0119822scene-182.ss-1665.es-1673;Sure;0.55;['Type of plan', ' Appearance', ' Clothes', ' Posture'];tt0119822-182;tt0119822;scene-182.ss-1665.es-1673.srt;tt0119822_scene_182.avi;181
424;1;tt0119822scene-183.ss-1674.es-1681;Not Sure;0.73;['Body', ' Clothes', ' Speech', ' Exp of  emotion'];tt0119822-183;tt0119822;scene-183.ss-1674.es-1681.srt;tt0119822_scene_183.avi;182
425;1;tt0119822scene-184.ss-1681.es-1693;Not Sure;1.00;['Body', ' Clothes', ' Speech', ' Exp of  emotion'];tt0119822-184;tt0119822;scene-184.ss-1681.es-1693.srt;tt0119822_scene_184.avi;183
426;1;tt0119822scene-185.ss-1694.es-1698;Sure;0.72;['Body', ' Voice', ' Appearance', ' Clothes', ' Speech'];tt0119822-185;tt0119822;scene-185.ss-1694.es-1698.srt;tt0119822_scene_185.avi;184
427;1;tt0119822scene-186.ss-1699.es-1706;Sure;0.23;['Body', ' Voice', ' Appearance', ' Clothes', ' Speech'];tt0119822-186;tt0119822;scene-186.ss-1699.es-1706.srt;tt0119822_scene_186.avi;185
428;1;tt0119822scene-187.ss-1707.es-1714;Not Sure;1.00;['Body', ' Appearance', ' Clothes'];tt0119822-187;tt0119822;scene-187.ss-1707.es-1714.srt;tt0119822_scene_187.avi;186
429;1;tt0119822scene-188.ss-1715.es-1724;Not Sure;0.20;['Body', ' Appearance', ' Clothes'];tt0119822-188;tt0119822;scene-188.ss-1715.es-1724.srt;tt0119822_scene_188.avi;187
430;1;tt0119822scene-189.ss-1725.es-1745;Hard Neg;0.35;['Body', ' Posture', ' Speech'];tt0119822-189;tt0119822;scene-189.ss-1725.es-1745.srt;tt0119822_scene_189.avi;188
431;1;tt0119822scene-190.ss-1746.es-1748;Sure;0.45;['Speech'];tt0119822-190;tt0119822;scene-190.ss-1746.es-1748.srt;tt0119822_scene_190.avi;189
432;1;tt0119822scene-191.ss-1749.es-1754;Hard Neg;1.00;['Type of plan', ' Body', ' Activities'];tt0119822-191;tt0119822;scene-191.ss-1749.es-1754.srt;tt0119822_scene_191.avi;190
433;1;tt0119822scene-192.ss-1754.es-1757;Hard Neg;0.32;['Voice', ' Exp of  emotion'];tt0119822-192;tt0119822;scene-192.ss-1754.es-1757.srt;tt0119822_scene_192.avi;191
434;0;tt0212338scene-001.ss-0001.es-0013;Easy Neg;0.40;[''];tt0212338-001;tt0212338;scene-001.ss-0001.es-0013.srt;tt0212338_scene_1.mp4;-1
435;0;tt0212338scene-002.ss-0014.es-0016;Easy Neg;1.00;[''];tt0212338-002;tt0212338;scene-002.ss-0014.es-0016.srt;tt0212338_scene_2.mp4;-1
436;1;tt0212338scene-003.ss-0017.es-0027;Easy Neg;1.00;[''];tt0212338-003;tt0212338;scene-003.ss-0017.es-0027.srt;tt0212338_scene_3.avi;2
437;0;tt0212338scene-004.ss-0028.es-0029;Easy Neg;0.99;[''];tt0212338-004;tt0212338;scene-004.ss-0028.es-0029.srt;tt0212338_scene_4.mp4;-1
438;1;tt0212338scene-005.ss-0030.es-0034;Hard Neg;0.78;['Activities'];tt0212338-005;tt0212338;scene-005.ss-0030.es-0034.srt;tt0212338_scene_5.avi;4
439;0;tt0212338scene-006.ss-0035.es-0035;Hard Neg;1.00;['Activities'];tt0212338-006;tt0212338;scene-006.ss-0035.es-0035.srt;tt0212338_scene_6.mp4;-1
440;1;tt0212338scene-007.ss-0036.es-0042;Hard Neg;1.00;['Activities'];tt0212338-007;tt0212338;scene-007.ss-0036.es-0042.srt;tt0212338_scene_7.avi;6
441;1;tt0212338scene-008.ss-0043.es-0047;Hard Neg;1.00;['Activities'];tt0212338-008;tt0212338;scene-008.ss-0043.es-0047.srt;tt0212338_scene_8.avi;7
442;1;tt0212338scene-009.ss-0048.es-0079;Hard Neg;0.88;['Speech', ' Activities'];tt0212338-009;tt0212338;scene-009.ss-0048.es-0079.srt;tt0212338_scene_9.avi;8
443;1;tt0212338scene-010.ss-0080.es-0101;Hard Neg;1.00;['Speech', ' Activities'];tt0212338-010;tt0212338;scene-010.ss-0080.es-0101.srt;tt0212338_scene_10.avi;9
